Month_name, ORG_NAME, BID_PRICE, BID_CAPACITY, LOCATION_DESCRIPTION, OFFER_PRICE, OFFER_CAPACITY,AuctionType
January,1740,1.5,25,1,,,Obligation
January,1801,3,0.9,2,,,Obligation
January,1801,7,3.2,1,,,Obligation
January,1801,7,0.5,7,,,Obligation
January,1841,3,1.2,2,,,Obligation
January,1841,7,4.5,1,,,Obligation
January,1841,7,0.8,7,,,Obligation
February,67,0.05,28,2,,,Obligation
February,67,0.1,29,2,,,Obligation
February,67,0.15,28,2,,,Obligation
February,67,0.2,19,2,,,Obligation
February,67,0.25,17,2,,,Obligation
February,67,0.3,17,2,,,Obligation
February,67,1.4,18,1,,,Obligation
February,67,1.4,66,7,,,Obligation
February,67,1.5,18,1,,,Obligation
February,67,1.5,67,7,,,Obligation
February,67,1.6,17,1,,,Obligation
February,67,1.6,57,7,,,Obligation
February,67,1.7,17,1,,,Obligation
February,67,1.7,57,7,,,Obligation
February,67,1.75,6,4,,,Obligation
February,67,1.85,6,4,,,Obligation
February,67,1.95,6,4,,,Obligation
February,3,0.01,12,2,,,Obligation
February,3,0.02,1,2,,,Obligation
February,3,0.03,1,2,,,Obligation
February,3,0.04,5,2,,,Obligation
February,3,0.05,5,2,,,Obligation
February,3,0.06,5,2,,,Obligation
February,3,0.07,10,2,,,Obligation
February,3,0.08,10,2,,,Obligation
February,3,0.09,10,2,,,Obligation
February,3,0.1,50,2,,,Obligation
February,3,0.11,5,2,,,Obligation
February,3,0.13,5,2,,,Obligation
February,3,0.14,5,2,,,Obligation
February,3,0.15,5,2,,,Obligation
February,3,0.16,5,2,,,Obligation
February,3,0.17,5,2,,,Obligation
February,3,0.18,5,2,,,Obligation
February,3,0.19,5,2,,,Obligation
February,3,0.2,5,2,,,Obligation
February,3,0.21,10,2,,,Obligation
February,3,0.22,10,2,,,Obligation
February,3,0.23,15,2,,,Obligation
February,3,0.24,15,2,,,Obligation
February,3,0.25,15,2,,,Obligation
February,1124,0.12,3,2,,,Obligation
February,1124,0.15,74.8,2,,,Obligation
February,1124,0.22,20,2,,,Obligation
February,1124,1.39,17.3,1,,,Obligation
February,1124,1.39,18.1,7,,,Obligation
February,1124,1.47,10,7,,,Obligation
February,1124,1.75,3.1,1,,,Obligation
February,1124,1.75,1.2,7,,,Obligation
February,1124,2.1,15,1,,,Obligation
February,1320,0.05,100,2,,,Obligation
February,1320,0.07,100,2,,,Obligation
February,1320,0.1,100,2,,,Obligation
February,1320,0.12,100,2,,,Obligation
February,1320,1,50,1,,,Obligation
February,1320,1,50,7,,,Obligation
February,1320,1.25,25,1,,,Obligation
February,1320,1.25,25,7,,,Obligation
February,1320,1.3,25,1,,,Obligation
February,1320,1.3,25,7,,,Obligation
February,1099,0.11,25,2,,,Obligation
February,1099,0.15,25,2,,,Obligation
February,1099,1.26,25,7,,,Obligation
February,1099,1.42,25,7,,,Obligation
February,1099,1.77,25,7,,,Obligation
February,432,0.07,5,2,,,Obligation
February,432,0.1,5,2,,,Obligation
February,432,0.12,5,2,,,Obligation
February,284,0.11,10.5,2,,,Obligation
February,284,1.51,6.7,7,,,Obligation
February,471,1.64,7,7,,,Obligation
February,471,1.67,7,7,,,Obligation
February,471,1.7,5,7,,,Obligation
February,471,1.73,5,7,,,Obligation
February,471,1.76,4,7,,,Obligation
February,471,1.79,4,7,,,Obligation
February,471,1.82,4,7,,,Obligation
February,471,1.85,2,7,,,Obligation
February,471,1.9,4,7,,,Obligation
February,471,1.95,4,7,,,Obligation
February,471,2,4,7,,,Obligation
February,471,2.05,4,7,,,Obligation
February,471,2.1,5,7,,,Obligation
February,471,2.15,7,7,,,Obligation
February,471,2.2,7,7,,,Obligation
February,7,0.12,4,2,,,Obligation
February,7,0.13,4,2,,,Obligation
February,7,0.14,3,2,,,Obligation
February,7,0.15,3,2,,,Obligation
February,7,0.16,2,2,,,Obligation
February,7,0.17,2,2,,,Obligation
February,7,0.18,2,2,,,Obligation
February,7,0.19,1,2,,,Obligation
February,7,0.2,2,2,,,Obligation
February,7,0.21,2,2,,,Obligation
February,7,0.22,2,2,,,Obligation
February,7,0.23,2,2,,,Obligation
February,7,0.24,3,2,,,Obligation
February,7,0.25,4,2,,,Obligation
February,7,0.26,4,2,,,Obligation
February,7,1.64,19,1,,,Obligation
February,7,1.64,12,7,,,Obligation
February,7,1.67,19,1,,,Obligation
February,7,1.67,12,7,,,Obligation
February,7,1.7,14,1,,,Obligation
February,7,1.7,9,7,,,Obligation
February,7,1.73,14,1,,,Obligation
February,7,1.73,9,7,,,Obligation
February,7,1.76,10,1,,,Obligation
February,7,1.76,6,7,,,Obligation
February,7,1.79,10,1,,,Obligation
February,7,1.79,6,7,,,Obligation
February,7,1.82,10,1,,,Obligation
February,7,1.82,6,7,,,Obligation
February,7,1.85,5,1,,,Obligation
February,7,1.85,3,7,,,Obligation
February,7,1.88,10,1,,,Obligation
February,7,1.88,6,7,,,Obligation
February,7,1.91,10,1,,,Obligation
February,7,1.91,6,7,,,Obligation
February,7,1.94,10,1,,,Obligation
February,7,1.94,6,7,,,Obligation
February,7,1.97,10,1,,,Obligation
February,7,1.97,6,7,,,Obligation
February,7,2,14,1,,,Obligation
February,7,2,9,7,,,Obligation
February,7,2.03,19,1,,,Obligation
February,7,2.03,12,7,,,Obligation
February,7,2.06,19,1,,,Obligation
February,7,2.06,12,7,,,Obligation
February,1209,0.06,98.3,2,,,Obligation
February,1209,0.07,91.9,2,,,Obligation
February,1209,0.08,85.9,2,,,Obligation
February,1209,0.09,80.3,2,,,Obligation
February,1209,0.1,75,2,,,Obligation
February,1209,0.17,22.2,2,,,Obligation
February,1209,0.19,22.2,2,,,Obligation
February,1209,0.48,5.7,4,,,Obligation
February,1209,0.49,5.4,4,,,Obligation
February,1209,0.5,5,4,,,Obligation
February,1209,0.6,3.1,4,,,Obligation
February,1209,0.63,3.1,4,,,Obligation
February,1209,1.37,19.1,1,,,Obligation
February,1209,1.42,18.2,1,,,Obligation
February,1209,1.45,10.9,7,,,Obligation
February,1209,1.47,17.4,1,,,Obligation
February,1209,1.48,10.6,7,,,Obligation
February,1209,1.51,10.3,7,,,Obligation
February,1209,1.52,16.5,1,,,Obligation
February,1209,1.54,10,7,,,Obligation
February,1209,1.57,15.8,1,,,Obligation
February,1209,1.57,5.2,7,,,Obligation
February,1209,1.62,15,1,,,Obligation
February,1209,1.95,10,7,,,Obligation
February,1740,0.05,500,2,,,Obligation
February,1740,0.08,200,2,,,Obligation
February,1740,0.1,100,2,,,Obligation
February,1740,0.12,50,2,,,Obligation
February,1740,0.15,50,2,,,Obligation
February,1740,1.25,50,1,,,Obligation
February,1740,1.5,25,1,,,Obligation
March,67,0.05,47,2,,,Obligation
March,67,0.1,48,2,,,Obligation
March,67,0.15,37,2,,,Obligation
March,67,1.4,18,1,,,Obligation
March,67,1.4,65,7,,,Obligation
March,67,1.5,18,1,,,Obligation
March,67,1.5,68,7,,,Obligation
March,67,1.6,17,1,,,Obligation
March,67,1.6,57,7,,,Obligation
March,67,1.7,17,1,,,Obligation
March,67,1.7,57,7,,,Obligation
March,67,1.75,5,4,,,Obligation
March,67,1.85,5,4,,,Obligation
March,67,1.95,5,4,,,Obligation
March,3,0.01,2,2,,,Obligation
March,3,0.02,5,2,,,Obligation
March,3,0.03,5,2,,,Obligation
March,3,0.04,5,2,,,Obligation
March,3,0.05,5,2,,,Obligation
March,3,0.06,10,2,,,Obligation
March,3,0.07,25,2,,,Obligation
